Category,Llama_Size,USA,China,India,Iran,Kenya,Greece
Overall,7,0.4,0.09,0.23,0.21,0.27,0.28
Overall,13,0.41,0.09,0.2,0.18,0.25,0.27
Overall,70,0.4,0.08,0.21,0.18,0.25,0.23
beverage,7,0.48,0.05,0.22,0.09,0.34,0.37
beverage,13,0.47,0.06,0.24,0.1,0.29,0.32
beverage,70,0.5,0.05,0.19,0.08,0.25,0.27
female_clothing,7,0.35,0.12,0.04,0.4,0.27,0.29
female_clothing,13,0.37,0.12,0.04,0.35,0.25,0.28
female_clothing,70,0.36,0.1,0.06,0.36,0.3,0.19
female_names,7,0.48,0.07,0.19,0.16,0.21,0.2
female_names,13,0.46,0.11,0.14,0.15,0.21,0.19
female_names,70,0.44,0.04,0.2,0.17,0.19,0.17
food,7,0.38,0.13,0.37,0.04,0.47,0.13
food,13,0.37,0.12,0.34,0.04,0.45,0.17
food,70,0.31,0.11,0.32,0.05,0.43,0.14
literature,7,0.3,0.14,0.34,0.1,0.22,0.44
literature,13,0.28,0.14,0.29,0.07,0.22,0.45
literature,70,0.32,0.14,0.32,0.05,0.19,0.43
location,7,0.42,0.13,0.14,0.11,0.28,0.26
location,13,0.48,0.11,0.12,0.12,0.25,0.24
location,70,0.45,0.13,0.13,0.08,0.29,0.24
male_clothing,7,0.3,0.02,0.3,0.39,0.28,0.32
male_clothing,13,0.32,0.02,0.24,0.31,0.25,0.25
male_clothing,70,0.28,0.02,0.23,0.35,0.29,0.22
male_names,7,0.65,0.06,0.19,0.21,0.16,0.18
male_names,13,0.67,0.09,0.15,0.2,0.14,0.2
male_names,70,0.67,0.02,0.17,0.2,0.17,0.17
religion,7,0.27,0.08,0.32,0.36,0.2,0.28
religion,13,0.27,0.04,0.28,0.3,0.18,0.29
religion,70,0.27,0.06,0.28,0.28,0.17,0.23
