key,US,China,India,Iran,Kenya,Greece,lang,llama_size,mode,model_name
chinese_7_country_alpaca-2,0.3448275862068966,0.25,0.3939393939393939,0.41379310344827586,0.40625,0.34375,chinese,7,country,alpaca-2
chinese_13_country_alpaca-2,0.3793103448275862,0.32142857142857145,0.3939393939393939,0.4827586206896552,0.46875,0.375,chinese,13,country,alpaca-2
chinese_70_country_alpaca-2,0.3793103448275862,0.39285714285714285,0.42424242424242425,0.4827586206896552,0.53125,0.34375,chinese,70,country,alpaca-2
english_7_country_alpaca-2,0.27586206896551724,0.5,0.3939393939393939,0.2413793103448276,0.3125,0.34375,english,7,country,alpaca-2
english_13_country_alpaca-2,0.3103448275862069,0.5357142857142857,0.42424242424242425,0.3103448275862069,0.28125,0.34375,english,13,country,alpaca-2
english_70_country_alpaca-2,0.3103448275862069,0.4642857142857143,0.45454545454545453,0.27586206896551724,0.28125,0.375,english,70,country,alpaca-2
greek_7_country_alpaca-2,0.1724137931034483,0.21428571428571427,0.2727272727272727,0.10344827586206896,0.25,0.28125,greek,7,country,alpaca-2
greek_13_country_alpaca-2,0.20689655172413793,0.21428571428571427,0.30303030303030304,0.1724137931034483,0.28125,0.28125,greek,13,country,alpaca-2
greek_70_country_alpaca-2,0.27586206896551724,0.21428571428571427,0.3333333333333333,0.13793103448275862,0.21875,0.34375,greek,70,country,alpaca-2
hindi_7_country_alpaca-2,0.27586206896551724,0.4642857142857143,0.3939393939393939,0.3448275862068966,0.25,0.40625,hindi,7,country,alpaca-2
hindi_13_country_alpaca-2,0.2413793103448276,0.35714285714285715,0.36363636363636365,0.27586206896551724,0.3125,0.375,hindi,13,country,alpaca-2
hindi_70_country_alpaca-2,0.2413793103448276,0.4642857142857143,0.3333333333333333,0.27586206896551724,0.34375,0.375,hindi,70,country,alpaca-2
persian_7_country_alpaca-2,0.3103448275862069,0.25,0.2727272727272727,0.3103448275862069,0.375,0.375,persian,7,country,alpaca-2
persian_13_country_alpaca-2,0.3103448275862069,0.25,0.3333333333333333,0.27586206896551724,0.34375,0.34375,persian,13,country,alpaca-2
persian_70_country_alpaca-2,0.27586206896551724,0.35714285714285715,0.3333333333333333,0.13793103448275862,0.25,0.375,persian,70,country,alpaca-2
swahili_7_country_alpaca-2,0.3448275862068966,0.32142857142857145,0.3939393939393939,0.1724137931034483,0.3125,0.34375,swahili,7,country,alpaca-2
swahili_13_country_alpaca-2,0.3448275862068966,0.2857142857142857,0.3939393939393939,0.2413793103448276,0.34375,0.34375,swahili,13,country,alpaca-2
swahili_70_country_alpaca-2,0.3103448275862069,0.35714285714285715,0.3939393939393939,0.20689655172413793,0.34375,0.375,swahili,70,country,alpaca-2
